model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,449.18,0.0,449.18,449.18,449.18,6.99,0.0,6.99,6.99,6.99,13630.95,0.0,13630.95,13630.95,69,92,1B,dense,general,drone,42.7,0.0,96.6,,3388.5,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,451.35,0.0,451.35,451.35,451.35,6.94,0.0,6.94,6.94,6.94,37330.22,0.0,37330.22,37330.22,58,256,1B,dense,general,drone,43.4,1.0,98.0,,3375.0,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,451.29,0.0,451.29,451.29,451.29,6.85,0.0,6.85,6.85,6.85,37824.07,0.0,37824.07,37824.07,57,256,1B,dense,general,drone,43.3,1.0,97.7,,3377.6,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,450.21,0.0,450.21,450.21,450.21,6.83,0.0,6.83,6.83,6.83,8364.89,0.0,8364.89,8364.89,77,54,1B,dense,general,drone,43.2,0.0,94.9,,3386.7,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,454.98,0.0,454.98,454.98,454.98,6.82,0.0,6.82,6.82,6.82,38023.68,0.0,38023.68,38023.68,65,256,1B,dense,general,drone,42.8,1.0,97.6,,3384.5,,ollama-cpu,,,
llama3.2:1b,1B,scene_description,1,457.27,0.0,457.27,457.27,457.27,10.56,0.0,10.56,10.56,10.56,2351.26,0.0,2351.26,2351.26,33,20,1B,dense,general,drone,40.8,0.0,2.2,,3419.9,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,target_identification,1,452.79,0.0,452.79,452.79,452.79,10.29,0.0,10.29,10.29,10.29,4535.16,0.0,4535.16,4535.16,27,42,1B,dense,general,drone,40.9,0.0,2.3,,3414.2,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,mission_preflight,1,458.29,0.0,458.29,458.29,458.29,10.14,0.0,10.14,10.14,10.14,25695.94,0.0,25695.94,25695.94,26,256,1B,dense,general,drone,41.4,1.0,1.9,,3390.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,telemetry_interpretation,1,455.3,0.0,455.3,455.3,455.3,10.14,0.0,10.14,10.14,10.14,12886.39,0.0,12886.39,12886.39,32,126,1B,dense,general,drone,41.5,0.0,1.9,,3381.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,hazard_reasoning,1,452.69,0.0,452.69,452.69,452.69,10.33,0.0,10.33,10.33,10.33,4129.88,0.0,4129.88,4129.88,35,38,1B,dense,general,drone,41.3,0.0,1.9,,3384.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
