model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,448.61,0.0,448.61,448.61,448.61,7.08,0.0,7.08,7.08,7.08,13452.29,0.0,13452.29,13452.29,69,92,1B,dense,general,drone,43.4,0.0,96.8,,2566.4,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,451.21,0.0,451.21,451.21,451.21,6.88,0.0,6.88,6.88,6.88,37720.94,0.0,37720.94,37720.94,58,256,1B,dense,general,drone,44.1,1.0,97.7,,2554.5,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,452.37,0.0,452.37,452.37,452.37,6.82,0.0,6.82,6.82,6.82,38037.64,0.0,38037.64,38037.64,57,256,1B,dense,general,drone,44.1,1.0,97.5,,2555.8,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,448.83,0.0,448.83,448.83,448.83,6.96,0.0,6.96,6.96,6.96,8221.31,0.0,8221.31,8221.31,77,54,1B,dense,general,drone,44.1,0.0,95.2,,2564.5,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,448.97,0.0,448.97,448.97,448.97,6.88,0.0,6.88,6.88,6.88,37667.8,0.0,37667.8,37667.8,65,256,1B,dense,general,drone,44.1,1.0,97.8,,2561.1,,ollama-cpu,,,
llama3.2:1b,1B,scene_description,1,453.7,0.0,453.7,453.7,453.7,10.49,0.0,10.49,10.49,10.49,2360.84,0.0,2360.84,2360.84,33,20,1B,dense,general,drone,43.0,0.0,2.1,,2560.9,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,target_identification,1,452.78,0.0,452.78,452.78,452.78,10.17,0.0,10.17,10.17,10.17,4582.61,0.0,4582.61,4582.61,27,42,1B,dense,general,drone,43.1,0.0,2.1,,2552.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,mission_preflight,1,459.88,0.0,459.88,459.88,459.88,10.03,0.0,10.03,10.03,10.03,25981.01,0.0,25981.01,25981.01,26,256,1B,dense,general,drone,43.8,1.0,1.9,,2552.3,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,telemetry_interpretation,1,455.58,0.0,455.58,455.58,455.58,10.04,0.0,10.04,10.04,10.04,13007.4,0.0,13007.4,13007.4,32,126,1B,dense,general,drone,43.8,0.0,1.8,,2550.3,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,hazard_reasoning,1,457.41,0.0,457.41,457.41,457.41,10.25,0.0,10.25,10.25,10.25,4165.92,0.0,4165.92,4165.92,35,38,1B,dense,general,drone,43.8,0.0,1.9,,2553.0,,hailo-10h,,,HailoRT-CLI version 5.3.0
